player_name,team_name,position_name,total_points,now_cost,unavailable,minutes,player_id,roi
Joel Matip,Liverpool,DEF,170,53,False,2790,224,3.207547169811321
Jarrod Bowen,West Ham,MID,206,69,False,2987,420,2.9855072463768115
Conor Coady,Wolves,DEF,138,47,False,3361,429,2.9361702127659575
Alisson Ramses Becker,Liverpool,GKP,176,61,False,3240,231,2.8852459016393444
Hugo Lloris,Spurs,GKP,158,55,False,3420,353,2.8727272727272726
Eric Dier,Spurs,DEF,132,47,False,3071,361,2.8085106382978724
José Malheiro de Sá,Wolves,GKP,146,52,False,3285,475,2.8076923076923075
Robert Sánchez,Brighton,GKP,126,45,False,3330,69,2.8
João Pedro Cavaco Cancelo,Man City,DEF,201,72,False,3227,256,2.7916666666666665
Matthew Cash,Aston Villa,DEF,147,53,False,3377,44,2.7735849056603774
Gabriel Magalhães,Arsenal,DEF,146,53,False,3063,23,2.7547169811320753
Marc Guéhi,Crystal Palace,DEF,123,45,False,3222,477,2.7333333333333334
Lukasz Fabianski,West Ham,GKP,136,50,False,3330,408,2.72
Pontus Jansson,Brentford,DEF,122,45,False,3321,76,2.7111111111111112
Virgil van Dijk,Liverpool,DEF,183,68,False,3060,229,2.6911764705882355
Bukayo Saka,Arsenal,MID,179,67,False,2978,22,2.671641791044776
Aymeric Laporte,Man City,DEF,160,60,False,2830,259,2.6666666666666665
Aaron Ramsdale,Arsenal,GKP,135,51,False,3060,559,2.6470588235294117
David de Gea,Man Utd,GKP,132,50,False,3420,270,2.64
Joachim Andersen,Crystal Palace,DEF,124,47,False,2914,488,2.6382978723404253
James Maddison,Leicester,MID,181,69,False,2454,212,2.6231884057971016
Kasper Schmeichel,Leicester,GKP,131,50,False,3330,200,2.62
Vicente Guaita,Crystal Palace,GKP,119,46,False,2655,146,2.5869565217391304
Marc Cucurella,Brighton,DEF,126,49,False,3089,584,2.5714285714285716
Andrew Robertson,Liverpool,DEF,186,73,False,2537,234,2.547945205479452
Ederson Santana de Moraes,Man City,GKP,155,62,False,3330,257,2.5
James Ward-Prowse,Southampton,MID,159,64,False,3215,341,2.484375
Trent Alexander-Arnold,Liverpool,DEF,208,84,False,2853,237,2.4761904761904763
Antonio Rüdiger,Chelsea,DEF,150,61,False,3035,127,2.459016393442623
Nick Pope,Burnley,GKP,130,53,False,3240,112,2.452830188679245
