player_name,team_name,position_name,total_points,now_cost,unavailable,minutes,player_id,roi
Stuart Dallas,Leeds,MID,171,49,False,2920,188,3.489795918367347
Emiliano Martínez,Aston Villa,GKP,186,55,False,3240,30,3.381818181818182
Illan Meslier,Leeds,GKP,154,48,False,3384,199,3.2083333333333335
Matt Targett,Newcastle,DEF,138,47,False,2871,39,2.9361702127659575
Bernd Leno,Arsenal,GKP,131,45,False,360,1,2.911111111111111
Jack Harrison,Leeds,MID,160,55,False,2638,267,2.909090909090909
Aaron Cresswell,West Ham,DEF,153,54,False,2726,411,2.8333333333333335
Aaron Wan-Bissaka,Man Utd,DEF,144,51,False,1793,288,2.823529411764706
Michael Keane,Everton,DEF,127,46,False,2791,169,2.760869565217391
Vladimir Coufal,West Ham,DEF,128,47,False,2207,418,2.723404255319149
Nick Pope,Burnley,GKP,144,53,False,3240,112,2.7169811320754715
Hugo Lloris,Spurs,GKP,149,55,False,3420,353,2.709090909090909
Lewis Dunk,Brighton,DEF,130,48,False,2573,59,2.7083333333333335
Vicente Guaita,Crystal Palace,GKP,124,46,False,2655,146,2.6956521739130435
Lukasz Fabianski,West Ham,GKP,133,50,False,3330,408,2.66
Rui Pedro dos Santos Patrício,Wolves,GKP,132,50,False,0,427,2.64
Alphonse Areola,West Ham,GKP,124,47,False,90,489,2.6382978723404253
Ederson Santana de Moraes,Man City,GKP,160,62,False,3330,257,2.5806451612903225
Tomas Soucek,West Ham,MID,147,57,False,3061,422,2.5789473684210527
Rob Holding,Arsenal,DEF,105,41,False,840,14,2.5609756097560976
Kasper Schmeichel,Leicester,GKP,128,50,False,3330,200,2.56
Tyrone Mings,Aston Villa,DEF,128,50,False,3188,38,2.56
Patrick Bamford,Leeds,FWD,194,77,False,557,189,2.5194805194805197
Benjamin Chilwell,Chelsea,DEF,139,56,False,541,135,2.482142857142857
Luke Shaw,Man Utd,DEF,124,50,False,1600,275,2.48
John Stones,Man City,DEF,128,52,False,1117,252,2.4615384615384617
James Ward-Prowse,Southampton,MID,156,64,False,3215,341,2.4375
Ezri Konsa Ngoyo,Aston Villa,DEF,119,49,False,2477,45,2.4285714285714284
Aaron Ramsdale,Arsenal,GKP,123,51,False,3060,559,2.411764705882353
Lucas Digne,Aston Villa,DEF,120,50,False,2440,168,2.4
Jordan Pickford,Everton,GKP,114,48,False,3150,170,2.375
Bertrand Traoré,Aston Villa,MID,135,57,False,212,32,2.3684210526315788
Matthew Lowton,Burnley,DEF,103,44,False,1771,110,2.340909090909091
Luke Ayling,Leeds,DEF,100,43,False,2272,185,2.3255813953488373
Harry Maguire,Man Utd,DEF,124,54,False,2513,273,2.2962962962962963
Edouard Mendy,Chelsea,GKP,140,61,False,3060,143,2.2950819672131146
Alisson Ramses Becker,Liverpool,GKP,140,61,False,3240,231,2.2950819672131146
